run,seed,preprocessing,model,rmse
1,42,zoh_kalman,XGBoost,13.411740240729314
1,42,zoh_kalman,CNN,13.014751764225908
1,42,zoh_kalman,Transformer,13.191028783615035
1,42,zoh_smoothing_spline,XGBoost,14.764971024021976
1,42,zoh_smoothing_spline,CNN,14.487574374879406
1,42,zoh_smoothing_spline,Transformer,14.814221182735135
1,42,zoh_none,XGBoost,15.14701926093474
1,42,zoh_none,CNN,15.102020808925747
1,42,zoh_none,Transformer,15.23646007232898
1,42,hourly_mean_kalman,XGBoost,13.492612279538342
1,42,hourly_mean_kalman,CNN,11.55720446882475
1,42,hourly_mean_kalman,Transformer,13.555644653722787
1,42,hourly_mean_smoothing_spline,XGBoost,19.457927213540017
1,42,hourly_mean_smoothing_spline,CNN,18.701576575810307
1,42,hourly_mean_smoothing_spline,Transformer,20.865107738140196
1,42,hourly_mean_none,XGBoost,19.711880845999783
1,42,hourly_mean_none,CNN,19.34097818046532
1,42,hourly_mean_none,Transformer,21.302773547235898
1,42,linear_kalman,XGBoost,12.64067020052893
1,42,linear_kalman,CNN,12.139487447104486
1,42,linear_kalman,Transformer,12.267275606355208
1,42,linear_smoothing_spline,XGBoost,13.207142184494774
1,42,linear_smoothing_spline,CNN,12.391326949243016
1,42,linear_smoothing_spline,Transformer,12.956071059273784
1,42,linear_none,XGBoost,13.662319839698597
1,42,linear_none,CNN,13.724913171528826
1,42,linear_none,Transformer,13.614887259639476
1,42,polynomial_kalman,XGBoost,12.868490635978008
1,42,polynomial_kalman,CNN,12.356854569886776
1,42,polynomial_kalman,Transformer,12.45201649813079
1,42,polynomial_smoothing_spline,XGBoost,13.466546447386115
1,42,polynomial_smoothing_spline,CNN,12.627274900700256
1,42,polynomial_smoothing_spline,Transformer,13.18981013044606
1,42,polynomial_none,XGBoost,13.93319034694684
1,42,polynomial_none,CNN,13.626134434062022
1,42,polynomial_none,Transformer,13.817903604936694
1,42,spline_kalman,XGBoost,12.868490635978008
1,42,spline_kalman,CNN,12.445872538006235
1,42,spline_kalman,Transformer,12.45201649813079
1,42,spline_smoothing_spline,XGBoost,13.466546447386115
1,42,spline_smoothing_spline,CNN,12.561082048110805
1,42,spline_smoothing_spline,Transformer,13.18981013044606
1,42,spline_none,XGBoost,13.93319034694684
1,42,spline_none,CNN,13.641545793450792
1,42,spline_none,Transformer,13.817903604936694
2,43,zoh_kalman,XGBoost,13.35889987257703
2,43,zoh_kalman,CNN,13.933550433580763
2,43,zoh_kalman,Transformer,13.160887363341049
2,43,zoh_smoothing_spline,XGBoost,14.724460982496735
2,43,zoh_smoothing_spline,CNN,15.738374206310912
2,43,zoh_smoothing_spline,Transformer,14.775991137151815
2,43,zoh_none,XGBoost,15.12859884081172
2,43,zoh_none,CNN,17.198528369861254
2,43,zoh_none,Transformer,15.227278525290094
2,43,hourly_mean_kalman,XGBoost,13.43333200461997
2,43,hourly_mean_kalman,CNN,12.686166106351973
2,43,hourly_mean_kalman,Transformer,13.713005783157959
2,43,hourly_mean_smoothing_spline,XGBoost,19.42465239689372
2,43,hourly_mean_smoothing_spline,CNN,19.078781082054896
2,43,hourly_mean_smoothing_spline,Transformer,21.04405638349176
2,43,hourly_mean_none,XGBoost,19.698044668798172
2,43,hourly_mean_none,CNN,19.45548247289717
2,43,hourly_mean_none,Transformer,21.462488005041568
2,43,linear_kalman,XGBoost,12.592585983175432
2,43,linear_kalman,CNN,14.012793009833185
2,43,linear_kalman,Transformer,12.241743403360898
2,43,linear_smoothing_spline,XGBoost,13.143828022850311
2,43,linear_smoothing_spline,CNN,16.213288813826647
